#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.28	5.16	0.00	5.24	0.946	0.947	0.977	0.776	0.796
batch-02_epo-040	0.28	5.01	0.00	2.26	0.978	0.946	0.983	0.800	0.818
batch-02_epo-060	0.28	5.09	0.00	2.08	0.979	0.982	0.992	0.821	0.838
batch-02_epo-080	0.30	5.15	0.00	2.21	0.995	0.977	0.994	0.842	0.857
batch-02_epo-100	0.30	5.00	0.05	2.23	0.998	0.992	0.994	0.840	0.856
batch-04_epo-020	0.43	4.77	0.00	1.38	0.977	0.997	0.994	0.813	0.831
batch-04_epo-040	0.31	4.83	0.00	1.03	0.998	1.000	0.995	0.826	0.843
batch-04_epo-060	0.34	4.80	0.00	0.89	0.998	0.985	0.995	0.850	0.864
batch-04_epo-080	0.31	4.42	0.00	1.08	0.997	0.992	0.995	0.841	0.857
batch-04_epo-100	0.30	4.66	0.00	1.16	0.987	0.992	0.995	0.849	0.864
batch-08_epo-020	1.23	4.46	0.00	0.48	0.994	0.999	0.995	0.823	0.840
batch-08_epo-040	1.28	4.46	0.00	0.37	0.989	1.000	0.995	0.833	0.849
batch-08_epo-060	1.25	4.39	0.00	0.37	0.993	0.999	0.995	0.852	0.866
batch-08_epo-080	1.18	4.45	0.00	0.40	0.996	0.993	0.995	0.849	0.863
batch-08_epo-100	0.62	4.45	0.00	0.37	0.993	0.999	0.995	0.847	0.861
batch-10_epo-020	0.22	3.99	0.00	0.57	0.977	0.997	0.994	0.823	0.840
batch-10_epo-040	0.28	4.03	0.00	0.34	0.988	0.998	0.995	0.826	0.843
batch-10_epo-060	0.24	4.02	0.00	0.33	0.997	0.999	0.995	0.839	0.855
batch-10_epo-080	0.23	4.06	0.00	0.34	0.998	1.000	0.995	0.840	0.856
batch-10_epo-100	0.22	4.01	0.00	0.33	0.997	1.000	0.995	0.846	0.861
batch-16_epo-020	0.28	4.01	0.00	0.57	0.998	0.988	0.995	0.818	0.836
batch-16_epo-040	0.23	4.02	0.00	0.34	0.997	1.000	0.995	0.838	0.853
batch-16_epo-060	0.24	4.02	0.00	0.33	0.997	1.000	0.995	0.838	0.854
batch-16_epo-080	0.23	4.02	0.00	0.34	0.996	0.998	0.995	0.836	0.852
batch-16_epo-100	0.26	4.03	0.00	0.33	0.997	1.000	0.995	0.851	0.865
batch-20_epo-020	0.25	4.02	0.00	2.46	0.996	0.999	0.995	0.817	0.835
batch-20_epo-040	0.24	4.02	0.00	0.34	0.992	0.999	0.995	0.832	0.848
batch-20_epo-060	0.23	4.02	0.00	0.33	0.998	1.000	0.995	0.845	0.860
batch-20_epo-080	0.23	4.02	0.00	0.34	0.996	1.000	0.995	0.840	0.856
batch-20_epo-100	0.23	4.02	0.00	0.33	0.997	1.000	0.995	0.850	0.865
batch-30_epo-020	0.23	4.02	0.00	3.36	0.975	0.963	0.981	0.805	0.823
batch-30_epo-040	0.25	3.94	0.00	0.41	0.997	0.997	0.995	0.826	0.843
batch-30_epo-060	0.23	4.02	0.00	0.34	0.995	0.999	0.995	0.838	0.854
batch-30_epo-080	0.23	4.02	0.00	0.34	0.997	1.000	0.995	0.844	0.859
batch-30_epo-100	0.26	4.03	0.00	0.33	0.997	1.000	0.995	0.853	0.867
